day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-06-25,RS,0.9927852698306869,0.0007128045760356548,8.381113659543566e-05,0.0006011519585150355,0.0058213572375230924
2020-06-26,RS,0.9925180173989554,0.0007382397782478158,8.681282581144845e-05,0.0006226873248901424,0.006038637411451309
2020-06-27,RS,0.9922412751555383,0.0007645426203931712,8.991772819297409e-05,0.0006449635674692956,0.006263695667762284
2020-06-28,RS,0.991954722691043,0.00079173970381492,9.312906977764705e-05,0.0006680038726316923,0.00649679940208879
2020-06-29,RS,0.9916580302234735,0.0008198584069003225,9.645017083222627e-05,0.0006918320998766814,0.006738223838273294
2020-06-30,RS,0.9913508580716928,0.0008489266514274989,9.988442394855841e-05,0.0007164726335645129,0.006988252958722614
2020-07-01,RS,0.9910328565873934,0.0008789729511921408,0.00010343529971963378,0.000741950421975776,0.007247179479075022
2020-07-02,RS,0.9907036661885108,0.0009100258275235017,0.00010710630083274482,0.0007682906666337525,0.007515305755855062
2020-07-03,RS,0.9903629166285923,0.0009421151600239826,0.00011090106970701555,0.000795519552381557,0.0077929423286509595
2020-07-04,RS,0.9900102272071456,0.0009752711539317552,0.00011482330702920789,0.000823663695689569,0.0080804093755597
2020-07-05,RS,0.9896452064662578,0.0010095246086924315,0.00011887679352996235,0.0008527502927473986,0.008378036578128256
2020-07-06,RS,0.9892674526403923,0.0010449064964843612,0.00012306534800140593,0.000882806816467868,0.00868616343800972
2020-07-07,RS,0.9888765529601272,0.0010814482871613633,0.0001273928604914524,0.0009138612565584883,0.00900513937501711
2020-07-08,RS,0.9884720826762072,0.0011191824553513433,0.00013186334384424046,0.0009459424921232544,0.009335323771829402
2020-07-09,RS,0.9880536059532701,0.0011581417698553896,0.00013648086259790792,0.0009790797783084083,0.009677086375323692
2020-07-10,RS,0.9876206753444533,0.0011983595087273076,0.0001412495550689579,0.0010133029061116135,0.010030807424994046
2020-07-11,RS,0.9871728350130602,0.001239868254221111,0.00014617348023007674,0.001048641092608233,0.010396876899235583
2020-07-12,RS,0.9867096134342306,0.0012827023854424197,0.00015125693646781354,0.0010851252920730265,0.010775696691141297
2020-07-13,RS,0.9862305285262266,0.0013268962020776313,0.00015650422280334792,0.0011227864652352134,0.01116767932301218
2020-07-14,RS,0.9857350861362527,0.0013724843839577386,0.00016191969819913998,0.001161656009508631,0.011573248511436655
2020-07-15,RS,0.9852227822740269,0.0014195012978915238,0.00016750770660995448,0.0012017652303848198,0.011992838230441496
2020-07-16,RS,0.9846931023416354,0.0014679811537655397,0.0001732725942886848,0.0012431454634956145,0.0124268931861693
2020-07-17,RS,0.9841455155075265,0.0015179595335829293,0.00017921887623282317,0.0012858292485588968,0.012875871573453254
