day,state,suscetivel,exposto,infectado,recuperado
2020-12-04,GO,0.9333354942450781,0.0038711218172757904,0.0048240992606684956,0.057970536722734445
2020-12-05,GO,0.9326442728526579,0.0038949667261864215,0.004855788330243458,0.05860622413666903
2020-12-06,GO,0.9319490562894744,0.003918723900174062,0.00488741042615979,0.05924606142994855
2020-12-07,GO,0.9312498529305288,0.003942389989887065,0.004918959688008748,0.05989004943733221
2020-12-08,GO,0.9305466855244326,0.00396595908963199,0.004950431177910866,0.06053817625378133
2020-12-09,GO,0.9298395766907975,0.003989425710832157,0.004981819561290306,0.061190430082836735
2020-12-10,GO,0.9291285482322219,0.0040127870066960355,0.0050131169911174405,0.06184679981572145
2020-12-11,GO,0.9284136226511644,0.004036039470516749,0.005044316210864617,0.06250727371321088
2020-12-12,GO,0.9276948240330478,0.004059178537563906,0.005075410876264762,0.06317183859888018
2020-12-13,GO,0.9269721773256272,0.004082199183702269,0.005106395040441306,0.06384048049598595
2020-12-14,GO,0.9262457086607672,0.0041050957828002894,0.005137263266925793,0.06451318433526348
2020-12-15,GO,0.9255154449381496,0.004127863262753206,0.005168009516871935,0.06518993432798197
2020-12-16,GO,0.9247814135429306,0.004150496636052327,0.0051986276351645225,0.06587071423160917
2020-12-17,GO,0.9240436431307968,0.004172991045218168,0.005229111260946063,0.06655550660879563
2020-12-18,GO,0.9233021627072482,0.004195341568897413,0.005259454079478296,0.06724429369013284
2020-12-19,GO,0.9225570027271572,0.004217543143716497,0.005289649840341695,0.06793705633454125
2020-12-20,GO,0.9218081940946007,0.004239590724134952,0.005319692259294762,0.06863377496772623
2020-12-21,GO,0.921055769061474,0.004261479250731879,0.005349575008542822,0.069334428725008
2020-12-22,GO,0.920299759759428,0.004283203681242076,0.005379291751728019,0.07003899685335854
2020-12-23,GO,0.9195402004142258,0.004304759017563629,0.005408836038464606,0.07074745657550262
2020-12-24,GO,0.918777125692382,0.004326140219301888,0.005438201484826674,0.0714597846492461
2020-12-25,GO,0.9180105707999249,0.004347342269449097,0.005467381656443684,0.07217595731993898
2020-12-26,GO,0.9172405716892146,0.004368360172193619,0.00549637006872635,0.07289595011562212
2020-12-27,GO,0.9164671653401693,0.004389188949940954,0.005525160187173789,0.07361973756847273
2020-12-28,GO,0.9156903897602651,0.004409823643313747,0.0055537454273735165,0.07434729321480438
2020-12-29,GO,0.9149102836576015,0.0044302592908905996,0.0055821192872243805,0.07507858981004013
2020-12-30,GO,0.9141268863862915,0.004450490925821707,0.00561027536902262,0.07581359936462088
2020-12-31,GO,0.9133402385727585,0.004470513614642525,0.005638207126166917,0.07655229273218872
2020-03-13,AM,0.9999942298694322,2.8561520102074765e-06,5.770130567849891e-06,0.0
2020-03-14,AM,0.999991437770514,4.9795160494605805e-06,5.666577341224207e-06,7.722881056365979e-07
2020-03-15,AM,0.9999886164755967,6.798700155671296e-06,5.888322300650762e-06,1.5526539573552741e-06
2020-03-16,AM,0.9999856292969973,8.485917811770755e-06,6.362031806695709e-06,2.3789053945561365e-06
2020-03-17,AM,0.9999823526687761,1.0180046048586579e-05,7.038215967580293e-06,3.285221218105634e-06
2020-03-18,AM,0.9999786859451035,1.196817338456402e-05,7.902592328146562e-06,4.299441194033877e-06
2020-03-19,AM,0.9999745741078893,1.3892128210303932e-05,8.953131763553358e-06,5.436784147147959e-06
2020-03-20,AM,0.9999698821733143,1.6044288076885965e-05,1.0195101268018771e-05,6.734589351071314e-06
2020-03-21,AM,0.9999645481638246,1.8458293529167788e-05,1.1639693069085936e-05,8.21000158741012e-06
2020-03-22,AM,0.9999584162373436,2.1215397346196852e-05,1.3318384979128481e-05,9.906132341365304e-06
2020-03-23,AM,0.9999514354412149,2.4339396897283233e-05,1.5244236177306792e-05,1.1837077720807328e-05
2020-03-24,AM,0.9999434390389843,2.791106282907482e-05,1.7457085510090137e-05,1.4048964686813833e-05
2020-03-25,AM,0.9999342703242259,3.200234301134844e-05,1.999833711736418e-05,1.6585147655616976e-05
2020-03-26,AM,0.9999237677035235,3.668591191062205e-05,2.2912202406353573e-05,1.9490334169688894e-05
2020-03-27,AM,0.9999117298173008,4.205086586543736e-05,2.6255231793350436e-05,2.2820237050656927e-05
