day,state,suscetivel,exposto,infectadoA,infectadoS,recuperado
2020-06-29,SC,0.9656869885234888,0.003923471425350652,0.0027743254810286395,0.0004654481765524884,0.027153591718531888
2020-06-30,SC,0.9645299268490016,0.0040035650468772475,0.002832522238189112,0.000475200011467596,0.028162611179416756
2020-07-01,SC,0.9633501410528751,0.004084503846274128,0.002891413333202827,0.0004850679397079538,0.029192699152892392
2020-07-02,SC,0.9621474362978863,0.004166257161969886,0.0029509808467548504,0.000495048849528426,0.030244102168812882
2020-07-03,SC,0.9609216292701196,0.004248792076105247,0.003011205198760218,0.0005051393666892787,0.03131705941327798
2020-07-04,SC,0.9596725459239721,0.004332073713039705,0.003072065371997542,0.0005153359019462939,0.032411804413996714
2020-07-05,SC,0.9584000252265832,0.004416064762744199,0.0031335385736924485,0.000525634584274987,0.03352856217765755
2020-07-06,SC,0.9571039202650221,0.004500725615104622,0.003195600348680033,0.0005360312593969604,0.0346675478367487
2020-07-07,SC,0.9557840972796905,0.004586013941871611,0.003258224246963978,0.0005465214705727526,0.03582896838585363
2020-07-08,SC,0.9544404366560746,0.00467188535015349,0.0033213823617543417,0.0005571004911384835,0.03701302046583151
2020-07-09,SC,0.9530728327838109,0.004758293271765451,0.003385045237410989,0.00056776331886609,0.03821989071309905
2020-07-10,SC,0.9516811940625456,0.004845188624919123,0.00344918158547322,0.0005785046579655177,0.03944975639404908
2020-07-11,SC,0.9502654479459843,0.004932519814507281,0.003513758252498492,0.000589318910029865,0.04070278040193255
2020-07-12,SC,0.9488255371075396,0.005020232851585628,0.003578740344969305,0.0006002001872827532,0.04197911483357531
2020-07-13,SC,0.9473614202780748,0.005108271359887352,0.00364409121002039,0.0006111423124296086,0.04327890016454028
2020-07-14,SC,0.9458730780844143,0.005196576548080413,0.003709772283142516,0.0006221388114645055,0.04460225959785073
2020-07-15,SC,0.9443605059405761,0.005285087221266433,0.0037757432681370558,0.0006331829205529941,0.04594930597441989
2020-07-16,SC,0.9428237199786643,0.00537373986631535,0.0038419621108967197,0.0006442675747267532,0.047320135794349315
2020-07-17,SC,0.941262757763337,0.0054624686947058205,0.003908385038751093,0.0006553854046135822,0.048714828423545006
2020-07-18,SC,0.9396776749645637,0.005551205512814056,0.003974966468345164,0.0006665287475755866,0.050133449631653976
2020-07-19,SC,0.9380685481253088,0.005639879788977554,0.0040416590289651,0.0006776896408370564,0.05157604874086392
2020-07-20,SC,0.9364354754746115,0.005728418970997889,0.0041084136768159175,0.0006888598307301777,0.05304265737179707
2020-07-21,SC,0.9347785777253864,0.005816748827628347,0.004175179819000677,0.0007000307827932892,0.05453328817014384
2020-07-22,SC,0.9330979992699112,0.005904792809337009,0.004241905039502071,0.00071119365792188,0.0560479345482804
2020-07-23,SC,0.9313939089902098,0.005992472358765112,0.004308535210569315,0.0007223393213927834,0.057586569444015565
2020-07-24,SC,0.9296664984755897,0.00607970728880155,0.004375014571276718,0.000733458374596673,0.0591491466146878
2020-07-25,SC,0.9279159778676921,0.006166416441739284,0.004441285867092874,0.0007445412144311273,0.060735603933997115
2020-07-26,SC,0.9261425846139361,0.006252516787961518,0.0045072901445649405,0.0007555779412185056,0.06234585583727142
2020-07-27,SC,0.9243465811383497,0.006337923864383132,0.004572966842106851,0.0007665583966741615,0.0639797950834386
2020-07-28,SC,0.9225282535957324,0.00642255403103428,0.004638252156201398,0.0007774719223871509,0.06563729361959714
2020-07-29,SC,0.9206879069304984,0.006506329667075479,0.004703075723980284,0.0007883069088943142,0.0673182060945039
2020-07-30,SC,0.9188258920024202,0.006589136209696866,0.004767395726714578,0.0007990561706943147,0.06902234521542655
2020-07-31,SC,0.9169425630321617,0.006670897395842605,0.004831136973587042,0.0008097071106167349,0.07074952081274435
2020-08-01,SC,0.9150383071546918,0.006751522115633886,0.004894235065531668,0.0008202488857192694,0.0724995121033758
2020-08-02,SC,0.9131135385149486,0.006830915153844105,0.00495662759801557,0.0008306710908475183,0.07427207296729665
2020-08-03,SC,0.9111686891110079,0.0069089940976104144,0.005018240979964046,0.0008409612986573368,0.07606693983771268
