day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-12-20,RN,0.6277026634862172,0.0006233810484010795,9.110443561718036e-05,0.0006650454584485564,0.3709320633688344
2020-12-21,RN,0.6275213136385521,0.0006007356302102527,8.780803236454802e-05,0.000640992507413288,0.3711634079889781
2020-12-22,RN,0.6273465787494165,0.0005788888442294248,8.462745138572509e-05,0.0006177836541562383,0.37138637909833044
2020-12-23,RN,0.6271782226090838,0.0005578144762622457,8.155883841242483e-05,0.0005953909345896803,0.37160127093917006
2020-12-24,RN,0.6270160141474648,0.0005374865330250198,7.859843219628303e-05,0.0005737870216041833,0.3718083716632281
2020-12-25,RN,0.6268597428183272,0.0005178832716286635,7.574243892450759e-05,0.0005529446890286975,0.37200794457960934
2020-12-26,RN,0.6267091853934915,0.0004989805448891245,7.298705994348598e-05,0.0005328364980651391,0.3722002683011292
2020-12-27,RN,0.6265641401897266,0.0004807549342821615,7.03289756298799e-05,0.0005134382647937511,0.372385595433086
2020-12-28,RN,0.6264244105763347,0.00046318013036106883,6.776541374920265e-05,0.0004947292426682771,0.37256417243440515
2020-12-29,RN,0.6262898054047038,0.00044623361598563564,6.529323177195907e-05,0.0004766865041686458,0.37273623904088826
2020-12-30,RN,0.6261601396163604,0.0004298947972440491,6.290919614750864e-05,0.00045928666463093025,0.3729020275231354
2020-12-31,RN,0.6260352350508945,0.00041414268140749943,6.061032682169355e-05,0.0004425080031538227,0.3730617617352408
2020-03-19,PI,0.9999694491093957,1.5275445302143723e-05,1.5275445302143723e-05,1.5275445302143723e-05,0.0
2020-03-20,PI,0.9999396922881364,3.610580604631425e-05,1.1953417724960586e-05,1.8034186060937986e-05,9.489747333406e-06
2020-03-21,PI,0.9999141089041264,4.756552350875264e-05,1.0138220263917496e-05,2.389060153243846e-05,1.9572195870464984e-05
2020-03-22,PI,0.9998901274478281,5.445620436889023e-05,9.16102802429066e-06,3.0383392749131388e-05,3.114737233134767e-05
2020-03-23,PI,0.9998664487041274,5.9158959803114846e-05,8.666806358965715e-06,3.654867625471265e-05,4.445229875757635e-05
2020-03-24,PI,0.9998424069914826,6.28504466472535e-05,8.463219137548299e-06,4.209875045925617e-05,5.945603757511714e-05
2020-03-25,PI,0.9998176558458995,6.61005434721452e-05,8.44471773690541e-06,4.70359318492807e-05,7.603840634404598e-05
2020-03-26,PI,0.9997919874773307,6.921511324942124e-05,8.547431448655197e-06,5.14477457186432e-05,9.407767755448564e-05
2020-03-27,PI,0.9997652835194404,7.232885613912229e-05,8.735780766852331e-06,5.546385292448248e-05,0.0001134634360310908
2020-03-28,PI,0.9997374552184504,7.551850447861886e-05,8.9866522335363e-06,5.9198232977066e-05,0.00013411683716228352
2020-03-29,PI,0.9997084336916024,7.882067720471472e-05,9.285918509552218e-06,6.275053666374898e-05,0.000155984621321369
2020-03-30,PI,0.9996781551099799,8.225515616778082e-05,9.624401984269937e-06,6.620361468239076e-05,0.00017903716248745142
2020-03-31,PI,0.9996465628340759,8.583494609895386e-05,9.996529088370886e-06,6.961415697962089e-05,0.0002032669790589505
2020-04-01,PI,0.9996135950313663,8.957055834821426e-05,1.0398139945235013e-05,7.303206751501467e-05,0.00022867964812715313
2020-04-02,PI,0.9995791976092001,9.346896772812278e-05,1.082712209171725e-05,7.648992501429664e-05,0.000255291821267607
2020-04-03,PI,0.9995432975839799,9.753949696083871e-05,1.1280928573937049e-05,8.002869433165614e-05,0.0002831287414554178
2020-04-04,PI,0.9995058332833832,0.00010178842219654257,1.175918024125478e-05,8.366793588100745e-05,0.0003122266235997316
2020-04-05,PI,0.9994667373112203,0.00010622211085106903,1.2261907343544184e-05,8.742544086300926e-05,0.0003426286750239027
2020-04-06,PI,0.999425940023415,0.00011084708063462314,1.2789501307263524e-05,9.131593843445837e-05,0.0003743829015105013
2020-04-07,PI,0.9993833667380357,0.0001156720655481939,1.3342155562743458e-05,9.53536771265754e-05,0.0004075408090286372
2020-04-08,PI,0.9993389401861004,0.00012070653391346127,1.3920184180112663e-05,9.955122191431338e-05,0.0004421573191935405
2020-04-09,PI,0.9992925793629711,0.00012596097448280255,1.4524059988259186e-05,0.00010391895824820824,0.0004782920896114827
2020-04-10,PI,0.9992442000691544,0.0001314448508793305,1.5154644003786087e-05,0.00010846698088282618,0.0005160089003815951
2020-04-11,PI,0.9991937160669425,0.0001371673578483114,1.581295532097303e-05,0.00011320528114808115,0.0005553737840420277
2020-04-12,PI,0.9991410363680461,0.00014313701704658796,1.6500274394661745e-05,0.00011814483251254118,0.0005964569533019952
2020-04-13,PI,0.9990860674065363,0.00014936331628692077,1.7217829620538593e-05,0.00012329620856281446,0.0006393306842954064
2020-04-14,PI,0.999028709907477,0.00015585733766045574,1.7966820358170193e-05,0.00012866940805174223,0.000684071971754401
2020-04-15,PI,0.9989688603659747,0.0001626321978492683,1.87483160204156e-05,0.0001342732358480915,0.0007307613296094343
2020-04-16,PI,0.9989064099723334,0.000169701509582456,1.9563488427233492e-05,0.00014011678808984208,0.0007794836868689341
2020-04-17,PI,0.9988412473683187,0.00017707658199070863,2.0413884044345614e-05,0.0001462115345237617,0.0008303260764243896
2020-04-18,PI,0.9987732481194423,0.00018476971284796308,2.1301283895156923e-05,0.00015257043007468917,0.0008833858990417961
2020-04-19,PI,0.9987023144996255,0.0001927919240307217,2.2226909032507576e-05,0.00015920242960505782,0.0009387396830081473
2020-04-20,PI,0.9986282897987282,0.00020116172318259114,2.319260785824428e-05,0.00016612112382033032,0.0009965101917125511
2020-04-21,PI,0.9985510566366822,0.00020989175566248858,2.4199924553510573e-05,0.00017333764349754905,0.001056789484906155
2020-04-22,PI,0.99847048853507,0.0002189957740731746,2.525050322048922e-05,0.00018086382553749285,0.0011196768074006815
2020-04-23,PI,0.9983864286199587,0.00022849096587891028,2.6346365044601424e-05,0.00018871422664752454,0.0011852952677720294
2020-04-24,PI,0.9982987203572264,0.00023839456468814776,2.7489511001448953e-05,0.00019690324561020707,0.0012537677667755149
2020-04-25,PI,0.9982072144376781,0.00024872315961896405,2.8681823773931673e-05,0.0002054444165895684,0.0013252116076412303
2020-04-26,PI,0.9981117503648214,0.00025949452647879234,2.9925331771098115e-05,0.0002143523176938312,0.0013997529045365977
2020-04-27,PI,0.998012156288928,0.00027072774478649486,3.1222191566993246e-05,0.0002236424311424948,0.001477526788877727
2020-04-28,PI,0.9979082583902198,0.0002824419279860822,3.257460540098351e-05,0.00023333056045891245,0.0015586699612359684
2020-04-29,PI,0.9977998716805078,0.00029465717219206804,3.3984938114189424e-05,0.00024343365490642001,0.0016433279995813114
2020-04-30,PI,0.9976868079294752,0.00030739391433731006,3.5455593148048736e-05,0.00025396893981668534,0.0017316490685244917
2020-05-01,PI,0.9975688660543008,0.00032067390837263487,3.698913224821677e-05,0.0002649547696276262,0.0018237915807524602
2020-05-02,PI,0.9974458395169495,0.0003345193677540192,3.8588199788411655e-05,0.000276410079423008,0.0019199182813867777
2020-05-03,PI,0.9973175118864226,0.00034895341855493885,4.025557681619509e-05,0.0002883547702245781,0.0020201997932834583
2020-05-04,PI,0.9971836592818271,0.00036399989587868915,4.1994133005993485e-05,0.000300809369801656,0.0021248127647883405
2020-05-05,PI,0.9970440476696547,0.0003796835769307954,4.3806876682238733e-05,0.00031379538616589577,0.002233941935868126
2020-05-06,PI,0.996898432739545,0.0003960301941672392,4.569695679061439e-05,0.0003273353217422769,0.0023477802330566047
2020-05-07,PI,0.9967465586450088,0.00041307169995846363,4.766699095920884e-05,0.0003414484356395524,0.0024665296737357728
2020-05-08,PI,0.9965881619253354,0.00043083808785405087,4.972003479184521e-05,0.00035615684259053087,0.002590398554729995
2020-05-09,PI,0.9964229725599749,0.00044935006860050646,5.1860533849454085e-05,0.00037149150965722327,0.0027196007732196567
2020-05-10,PI,0.9962507025410704,0.00046864334746450284,5.409140931638076e-05,0.0003874739442017411,0.002854364203248725
2020-05-11,PI,0.9960710558231274,0.0004887479613958469,5.641652270696387e-05,0.00040413167765441735,0.0029949234604170353
2020-05-12,PI,0.9958837243089749,0.0005096957374351303,5.883979438808915e-05,0.00042149273271211124,0.003141522871791449
2020-05-13,PI,0.995688386558874,0.0005315218734489374,6.136502557428136e-05,0.00043958451335124636,0.003294417474053115
2020-05-14,PI,0.9954847094276856,0.0005542608331607196,6.399639408901114e-05,0.0004584369179109849,0.0034538718724552845
2020-05-15,PI,0.9952723463160449,0.0005779489475467744,6.67381532471607e-05,0.00047808045442461174,0.003620161574038186
2020-05-16,PI,0.995050936920453,0.000602623852506851,6.959470846521267e-05,0.0004985467259659795,0.0037935732379106553
2020-05-17,PI,0.9948201068615785,0.0006283243486780385,7.257064064916943e-05,0.0005198685807478514,0.003974405013648157
2020-05-18,PI,0.9945794664469273,0.0006550906778900751,7.567069373640275e-05,0.0005420800435724917,0.004162967583175421
2020-05-19,PI,0.9943286139191132,0.0006829642128872605,7.88997442358231e-05,0.0005652160936900688,0.004359581475375292
2020-05-20,PI,0.9940671310721156,0.0007119878286108257,8.22628460358585e-05,0.0005893129882740507,0.004564580710265333
2020-05-21,PI,0.993794582050632,0.0007422059186621537,8.576523617113833e-05,0.0006144083057717094,0.004778313934064692
2020-05-22,PI,0.9935105142436736,0.0007736644439277899,8.941233493538367e-05,0.0006405409443162193,0.005001143478448687
2020-05-23,PI,0.9932144583930327,0.0008064107434823962,9.320973971748852e-05,0.0006677510729427037,0.005233445496126504
2020-05-24,PI,0.9929059288919428,0.0008404933732074031,9.716321941179725e-05,0.0006960800867937627,0.005475609873945919
2020-05-25,PI,0.9925844230985418,0.0008759624414197675,0.00010127872621891102,0.0007255707017345026,0.005728040477386719
2020-05-26,PI,0.9922494186171841,0.000912869486134452,0.00010556242010245862,0.0007562671176839404,0.005991157804196763
2020-05-27,PI,0.9919003733745595,0.0009512674736344537,0.00011002066802968934,0.0007882150133336145,0.006265398915744454
2020-05-28,PI,0.9915367654413146,0.0009912079918875396,0.00011465964902585734,0.0008214587135849352,0.006551183649488798
2020-05-29,PI,0.9911579068648914,0.001032755051591053,0.00011948716611684255,0.0008560542358564202,0.006849072126846129
2020-05-30,PI,0.990763292090368,0.001075958882930077,0.0001245092103973356,0.0008920445649940265,0.007159470696612359
