date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,exposto,infectado,recuperado
2020-05-20,SC,86,94,5499,5322.030774156771,31318.1068955517,429.2556435141359,7158404.826351459,1064.1103267413698,964.7153483656073,4357.315425791164
2020-05-21,SC,111,98,5610,5545.795299745081,4122.243534823978,55.34935650548377,7158141.702626912,1103.6309056695088,1000.5804794680818,4545.2148202769995
2020-05-22,SC,848,100,6458,5777.888523014582,462551.6211272874,6084.684284762128,7157868.789259814,1144.6193820893823,1037.7753417675328,4740.1131812470485
2020-05-23,SC,149,103,6607,6018.608387970807,346204.68910631276,4462.1978894646645,7157585.734882968,1187.1294293797966,1076.346170524649,4942.262217446158
2020-05-24,SC,89,105,6696,6268.249482780522,182970.5049815308,2310.858271228271,7157292.192165573,1231.2140374954665,1116.3387467089092,5151.910736071613
2020-05-25,SC,179,109,6875,6527.152713279797,120997.73487860686,1497.552607242725,7156987.760613703,1276.9330806430328,1157.8069028818734,5369.345810397924
2020-05-26,SC,141,121,7016,6795.686231966838,48538.1563849699,588.7550780458511,7156672.008459883,1324.350482733907,1200.8092080051078,5594.87702396173
2020-05-27,SC,356,126,7372,7074.186836414975,88692.68040452086,1054.4325975648253,7156344.539925626,1373.5255073586065,1245.3987804838641,5828.788055931111
2020-05-28,SC,628,131,8000,7363.064744277595,405686.5199821651,4727.502620867334,7156004.877055101,1424.5262363136121,1291.6429254240834,6071.421818853512
2020-05-29,SC,530,134,8530,7662.5519033823975,752466.2003255014,8595.515845766738,7155652.741425633,1477.3993400861457,1339.5745014879403,6322.977401894457
2020-05-30,SC,250,136,8780,7973.207872151344,650913.5375585614,7289.194312793563,7155287.487927844,1532.2308372231637,1389.2896703664258,6583.918201784919
2020-05-31,SC,257,143,9037,8295.393793597965,549979.7653740181,6038.124068291411,7154908.693533977,1589.0829153532095,1440.8462546475303,6854.5475389504345
2020-06-01,SC,461,146,9498,8629.501158501344,754290.2376845084,8119.33535123439,7154515.9002620755,1648.0223941311558,1494.3072040498382,7135.193954451505
2020-06-02,SC,162,148,9660,8975.995025947836,467862.80452810216,4938.022080144705,7154108.564305713,1709.1284118638257,1549.7470838024472,7426.247942145388
2020-06-03,SC,374,152,10034,9335.33274013439,488135.9400081193,5051.875324365326,7153686.151703742,1772.477969571281,1607.239872200481,7728.0928679339095
