UF,city,date,ibgeID,mortes,newCases,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,infectado,recuperado 
GO,Goiânia/GO,2020-05-11,5208707,23.0,28.0,578.0,547.6321740161326,922.2048549864531,39.37193576156482,1508831.1758259833,121.99541079502917,425.6367632211034
GO,Goiânia/GO,2020-05-12,5208707,24.0,7.0,585.0,578.4047107747135,43.49783996517992,1.807077090811522,1508800.4032892247,128.4335154187829,449.97119535593066
GO,Goiânia/GO,2020-05-13,5208707,27.0,80.0,665.0,610.8015689812505,2937.4699248941465,118.7594385096659,1508768.0064310182,135.2109126175468,475.5906563637038
GO,Goiânia/GO,2020-05-14,5208707,31.0,93.0,758.0,644.9069367787185,12790.040948772765,503.2536814515781,1508733.9010632206,142.3451345813966,502.561802197322
GO,Goiânia/GO,2020-05-15,5208707,30.0,115.0,873.0,680.8046765028259,36939.04237418339,1414.6716309769445,1508698.0033234966,149.85365654311906,530.9510199597069
GO,Goiânia/GO,2020-05-16,5208707,30.0,17.0,890.0,718.601310304581,29377.51082930652,1095.1384376719082,1508660.2066896947,157.75859956900788,560.8427107355732
GO,Goiânia/GO,2020-05-17,5208707,30.0,31.0,921.0,758.3907499704685,26441.76819516669,959.5284194068113,1508620.4172500288,166.07951438377148,592.3112355866971
GO,Goiânia/GO,2020-05-18,5208707,30.0,14.0,935.0,800.2780474684905,18150.004493902296,641.1875995837428,1508578.529952531,174.8382406624227,625.4398068060678
GO,Goiânia/GO,2020-05-19,5208707,30.0,29.0,964.0,844.3721173097829,14310.83031694435,492.19916497793554,1508534.4358826897,184.05741804686312,660.3146992629198
GO,Goiânia/GO,2020-05-20,5208707,34.0,64.0,1028.0,890.7862734849925,18827.606744135264,630.4704365882687,1508488.0217265144,193.76059546125893,697.0256780237336
GO,Goiânia/GO,2020-05-21,5208707,36.0,21.0,1049.0,939.6450737955297,11958.499885185145,389.90949483501555,1508439.1629262038,203.97362088552939,735.6714529100003
GO,Goiânia/GO,2020-05-22,5208707,41.0,114.0,1163.0,991.0782336845022,29557.093733040652,938.4016618562422,1508387.7297663148,214.72340612051494,776.3548275639872
GO,Goiânia/GO,2020-05-23,5208707,41.0,21.0,1184.0,1045.2202450651891,19259.82037976616,595.4436561809748,1508333.5877549343,226.03784971915948,819.1823953460297
